country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",23-05-2025 14.00,25.560083,87.553265,OZONE,3,15,7
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",23-05-2025 14.00,26.0881305,87.93840336,PM10,57,123,79
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",23-05-2025 14.00,26.0881305,87.93840336,OZONE,14,18,16
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",23-05-2025 14.00,27.308328,84.531742,NH3,1,1,1
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",23-05-2025 14.00,27.308328,84.531742,CO,4,148,56
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",23-05-2025 14.00,26.63086,84.90051,OZONE,9,11,11
India,Bihar,Munger,"Town Hall, Munger - BSPCB",23-05-2025 14.00,25.376776,86.471523,PM2.5,2,37,18
India,Bihar,Munger,"Town Hall, Munger - BSPCB",23-05-2025 14.00,25.376776,86.471523,CO,15,38,28
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",23-05-2025 14.00,26.11442,85.39813,PM10,48,89,60
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",23-05-2025 14.00,26.071318,91.87488,SO2,29,38,33
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",23-05-2025 14.00,26.10887,91.589544,PM10,23,111,65
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",23-05-2025 14.00,26.10887,91.589544,OZONE,15,20,17
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",23-05-2025 14.00,26.1875,91.744194,SO2,32,51,40
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",23-05-2025 14.00,26.1875,91.744194,OZONE,17,18,17
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",23-05-2025 14.00,26.181742,91.78063,PM2.5,23,133,67
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",23-05-2025 14.00,26.181742,91.78063,PM10,20,450,83
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",23-05-2025 14.00,26.181742,91.78063,NO2,3,4,3
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",23-05-2025 14.00,26.349082,92.68449,PM2.5,30,38,33
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-05-2025 14.00,16.5150833,80.5181667,SO2,8,17,11
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23-05-2025 14.00,16.5150833,80.5181667,CO,2,60,31
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",23-05-2025 14.00,13.20488,79.097889,PM10,49,81,64
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",23-05-2025 14.00,14.465052,78.824187,OZONE,30,33,31
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-05-2025 14.00,16.9872867,81.7363176,NO2,10,40,19
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-05-2025 14.00,16.9872867,81.7363176,NH3,4,7,5
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-05-2025 14.00,16.9872867,81.7363176,SO2,1,6,3
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",23-05-2025 14.00,16.9872867,81.7363176,CO,11,46,23
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",23-05-2025 14.00,13.67,79.35,CO,10,70,28
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",23-05-2025 14.00,13.67,79.35,OZONE,7,15,11
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",23-05-2025 14.00,13.615387,79.40923,PM2.5,56,149,74
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",23-05-2025 14.00,13.615387,79.40923,PM10,50,91,60
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",23-05-2025 14.00,13.615387,79.40923,NO2,3,10,5
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",23-05-2025 14.00,13.615387,79.40923,OZONE,20,32,24
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",23-05-2025 14.00,16.536107,80.594233,CO,21,35,30
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",23-05-2025 14.00,16.536107,80.594233,OZONE,6,21,9
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",23-05-2025 14.00,26.349082,92.68449,CO,1,116,9
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",23-05-2025 14.00,26.349082,92.68449,OZONE,14,29,22
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",23-05-2025 14.00,26.446912,91.439057,NO2,NA,NA,NA
