state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2025-05-23 14:00:00,25.560083,87.553265,OZONE,3.0,15.0,7.0
Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2025-05-23 14:00:00,26.0881305,87.93840336,PM10,57.0,123.0,79.0
Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2025-05-23 14:00:00,26.0881305,87.93840336,OZONE,14.0,18.0,16.0
Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",2025-05-23 14:00:00,27.308328,84.531742,NH3,1.0,1.0,1.0
Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",2025-05-23 14:00:00,27.308328,84.531742,CO,4.0,148.0,56.0
Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2025-05-23 14:00:00,26.63086,84.90051,OZONE,9.0,11.0,11.0
Bihar,Munger,"Town Hall, Munger - BSPCB",2025-05-23 14:00:00,25.376776,86.471523,PM2.5,2.0,37.0,18.0
Bihar,Munger,"Town Hall, Munger - BSPCB",2025-05-23 14:00:00,25.376776,86.471523,CO,15.0,38.0,28.0
Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2025-05-23 14:00:00,26.11442,85.39813,PM10,48.0,89.0,60.0
Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2025-05-23 14:00:00,26.071318,91.87488,SO2,29.0,38.0,33.0
Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2025-05-23 14:00:00,26.10887,91.589544,PM10,23.0,111.0,65.0
Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2025-05-23 14:00:00,26.10887,91.589544,OZONE,15.0,20.0,17.0
Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2025-05-23 14:00:00,26.1875,91.744194,SO2,32.0,51.0,40.0
Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2025-05-23 14:00:00,26.1875,91.744194,OZONE,17.0,18.0,17.0
Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2025-05-23 14:00:00,26.181742,91.78063,PM2.5,23.0,133.0,67.0
Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2025-05-23 14:00:00,26.181742,91.78063,PM10,20.0,450.0,83.0
Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2025-05-23 14:00:00,26.181742,91.78063,NO2,3.0,4.0,3.0
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2025-05-23 14:00:00,26.349082,92.68449,PM2.5,30.0,38.0,33.0
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2025-05-23 14:00:00,16.5150833,80.5181667,SO2,8.0,17.0,11.0
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2025-05-23 14:00:00,16.5150833,80.5181667,CO,2.0,60.0,31.0
Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2025-05-23 14:00:00,13.20488,79.097889,PM10,49.0,81.0,64.0
Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2025-05-23 14:00:00,14.465052,78.824187,OZONE,30.0,33.0,31.0
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2025-05-23 14:00:00,16.9872867,81.7363176,NO2,10.0,40.0,19.0
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2025-05-23 14:00:00,16.9872867,81.7363176,NH3,4.0,7.0,5.0
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2025-05-23 14:00:00,16.9872867,81.7363176,SO2,1.0,6.0,3.0
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2025-05-23 14:00:00,16.9872867,81.7363176,CO,11.0,46.0,23.0
Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",2025-05-23 14:00:00,13.67,79.35,CO,10.0,70.0,28.0
Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",2025-05-23 14:00:00,13.67,79.35,OZONE,7.0,15.0,11.0
Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2025-05-23 14:00:00,13.615387,79.40923,PM2.5,56.0,149.0,74.0
Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2025-05-23 14:00:00,13.615387,79.40923,PM10,50.0,91.0,60.0
Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2025-05-23 14:00:00,13.615387,79.40923,NO2,3.0,10.0,5.0
Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2025-05-23 14:00:00,13.615387,79.40923,OZONE,20.0,32.0,24.0
Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2025-05-23 14:00:00,16.536107,80.594233,CO,21.0,35.0,30.0
Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2025-05-23 14:00:00,16.536107,80.594233,OZONE,6.0,21.0,9.0
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2025-05-23 14:00:00,26.349082,92.68449,CO,1.0,116.0,9.0
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2025-05-23 14:00:00,26.349082,92.68449,OZONE,14.0,29.0,22.0
